id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
742423974383162197,Charmant T2 à 2min du métro Charpennes,406010143,Louise,,6e Arrondissement,45.7685,4.86434,Entire home/apt,121,2,0,,,1,6,0,
727969453252566277,Chambre dans appartement cosy,37716524,Anna,,7e Arrondissement,45.75123199999999,4.8449611,Private room,50,3,3,2022-11-27,1.50,1,8,3,
727997973029574454,"Chambre 2 dans appartement spacieux, Lyon.",32003369,Andréa,,9e Arrondissement,45.78484,4.80568,Private room,65,1,1,2022-10-14,0.48,2,363,1,
728125956775360630,Chambre chaleureuse avec parking gratuit sur place,438402077,Aurelia,,9e Arrondissement,45.76608,4.81071,Private room,120,1,0,,,1,348,0,
742424658135898180,"Jardin privé, charme, calme",25011939,Edouard,,4e Arrondissement,45.7770527181638,4.822148457169533,Private room,50,1,23,2022-12-04,12.78,1,30,23,
740191862779338165,Lyon 6 - T2 Proche commodités,60257493,Valentin,,6e Arrondissement,45.76744,4.86266,Entire home/apt,93,1,5,2022-12-11,4.29,1,28,5,6938613408505
728155886489766555,Lyon Appartement chaleureux et bien desservi,478911594,José,,9e Arrondissement,45.76813,4.80476,Entire home/apt,69,2,3,2022-11-25,1.64,1,58,3,6938913405056
728193083585315467,Appartement entièrement rénové avec parking privé,59790252,Victor,,9e Arrondissement,45.80403,4.83639,Entire home/apt,130,1,1,2022-11-14,0.94,1,361,1,6938913396445
728814825649496908,Appartement au coeur de Lyon - Berges du Rhône,94750725,Grégoire,,7e Arrondissement,45.748995729577764,4.83465526252985,Entire home/apt,170,2,4,2022-12-11,2.55,1,77,4,6938713395808
742554369862790366,"Lyon, appartement moderne et confortable",167501388,Marie,,7e Arrondissement,45.73352,4.82925,Entire home/apt,200,2,0,,,1,0,0,6938713411545
728885575478309132,Appartement cosy refait à neuf,152421806,Andréa,,5e Arrondissement,45.75428,4.80601,Entire home/apt,150,2,1,2022-11-13,0.91,1,151,1,6938513395664
742645600848059471,Bas des pentes-place Sathonay T2 avec mezzanine,4282225,Benoît,,1er Arrondissement,45.769588548238346,4.82723599999999,Entire home/apt,400,1,2,2022-11-13,1.36,1,27,2,6938113411612
729372837659365174,Appartement ancien et cosy avec balcon,311334746,Ambrine,,7e Arrondissement,45.7534242,4.840013,Entire home/apt,60,1,3,2022-11-06,1.32,1,27,3,6938713396105
729492662338097625,Chambre de charme en bord de Rhone,46954594,Vanina,,1er Arrondissement,45.77381099999999,4.837858199999999,Private room,60,1,17,2022-12-07,7.18,2,163,17,
742663165802110669,Love nest under the roof,484350599,Jennifer,,2e Arrondissement,45.7606,4.83257,Entire home/apt,80,2,1,2022-11-20,1,1,364,1,6938213405942
729536095552531054,Chambre avec vue sur le Rhône,46954594,Vanina,,4e Arrondissement,45.77482,4.83843,Private room,70,1,10,2022-11-20,4.23,2,163,10,
742674503137878987,"Lyon, appartement proche université",21589922,Léa,,3e Arrondissement,45.74947,4.8611,Private room,95,1,0,,,1,90,0,
743258499698272307,Chambre Mikado,434427480,Oliveur,,8e Arrondissement,45.7326285,4.885559199999999,Private room,69,1,2,2022-11-18,1.28,2,358,2,
754944547740732446,En plein centre proche des quais du Rhône,22370168,Laurianne,,7e Arrondissement,45.7533,4.84426,Entire home/apt,110,2,0,,,1,38,0,6938713433222
743305550914005048,Superbe appartement au cœur de Monplaisir,49601389,Sylvie,,3e Arrondissement,45.7455435,4.872087899999999,Entire home/apt,250,2,0,,,1,36,0,6938313418583
